facility_id,facility_name,region,archive_hours,hours_with_occupancy_pct,hours_with_waiting,hours_with_present,coverage_pct,longest_gap_hours,first_reading,last_reading
51233583,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51246338,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51219160,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51219731,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51245199,CHSLD ET HÔPITAL PAUL-GILBERT,Chaudière-Appalaches,232,0,232,232,0.0,232,,
51220051,HÔPITAL DU CENTRE-DE-LA-MAURICIE,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
12475976,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,Montréal,232,0,0,0,0.0,232,,
51848752,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,Montréal,232,0,0,0,0.0,232,,
51228492,HÔPITAL FLEURY,Montréal,232,0,0,0,0.0,232,,
51228500,HÔPITAL JEAN-TALON,Montréal,232,0,0,0,0.0,232,,
51228781,HÔPITAL SAINTE-CROIX,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51228039,HÔTEL-DIEU D'ARTHABASKA,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51220168,PAVILLON SAINTE-MARIE,Mauricie et Centre-du-Québec,232,0,0,0,0.0,232,,
51229151,HÔPITAL ANNA-LABERGE,Montérégie,232,228,228,228,98.3,1,2026-09-02T06:00,2026-09-11T21:00
51233799,HÔPITAL CHARLES-LE MOYNE,Montérégie,232,229,229,229,98.7,1,2026-09-02T06:00,2026-09-11T21:00
51228062,HÔPITAL PIERRE-LE GARDEUR,Lanaudière,232,229,229,229,98.7,1,2026-09-02T06:00,2026-09-11T21:00
51248250,HÔPITAL GÉNÉRAL JUIF,Montréal,232,230,230,230,99.1,1,2026-09-02T06:00,2026-09-11T21:00
51236297,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Montréal,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51236156,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,Bas-Saint-Laurent,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51222800,CHU SAINTE-JUSTINE,Montréal,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51218394,HÔPITAL DE CHICOUTIMI,Saguenay-Lac-Saint-Jean,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51221703,HÔPITAL DE GATINEAU,Outaouais,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51221711,HÔPITAL DE HULL,Outaouais,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51228757,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,Laval,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51245231,HÔPITAL DE THETFORD,Chaudière-Appalaches,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51228278,HÔPITAL GÉNÉRAL DU LAKESHORE,Montréal,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51229193,HÔPITAL HONORÉ-MERCIER,Montérégie,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
12934659,HÔPITAL MAISONNEUVE-ROSEMONT,Montréal,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51236313,HÔPITAL NOTRE-DAME,Montréal,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51235919,HÔPITAL SANTA CABRINI,Montréal,232,231,231,231,99.6,1,2026-09-02T06:00,2026-09-11T21:00
51218501,CENTRE DE SANTÉ DE CHIBOUGAMAU,Nord-du-Québec,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51218543,CENTRE DE SANTÉ DE RADISSON,Nord-du-Québec,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51218535,CENTRE DE SANTÉ ISLE-DIEU,Nord-du-Québec,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51218527,CENTRE DE SANTÉ LEBEL,Nord-du-Québec,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51218519,CENTRE DE SANTÉ RENÉ-RICARD,Nord-du-Québec,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51217594,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,Capitale-Nationale,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51248243,CENTRE HOSPITALIER DE ST. MARY,Montréal,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51218352,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,Bas-Saint-Laurent,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51225001,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,Capitale-Nationale,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51245306,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL,Laurentides,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51244804,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,Capitale-Nationale,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51245108,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT,Côte-Nord,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51218741,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE,Côte-Nord,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51247732,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE,Gaspésie-Îles-de-la-Madeleine,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51245140,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD,Côte-Nord,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51245116,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,Côte-Nord,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51247617,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,Estrie,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51247559,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,Abitibi-Témiscamingue,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
51245058,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,Outaouais,232,232,232,232,100.0,0,2026-09-02T06:00,2026-09-11T21:00
